cik,ticker,name,country,currency,CY,PY,CY_afs_unrealized_loss,CY_afs_unrealized_gain,CY_afs_fair_value,CY_afs_historical_value,CY_deposits,CY_htm_fair_value,CY_htm_unrealized_gain,CY_htm_unrealized_loss,CY_htm_historical_value,CY_notes_historical_value,CY_total_assets,CY_total_liabilities,CY_net_income,CY_oci,PY_afs_unrealized_loss,PY_afs_unrealized_gain,PY_afs_fair_value,PY_afs_historical_value,PY_deposits,PY_htm_fair_value,PY_htm_unrealized_gain,PY_htm_unrealized_loss,PY_htm_historical_value,PY_notes_historical_value,PY_total_assets,PY_total_liabilities,PY_net_income,PY_oci,CY_afs_unrealized_loss_stmt_item_name,CY_afs_unrealized_gain_stmt_item_name,CY_afs_fair_value_stmt_item_name,CY_afs_historical_value_stmt_item_name,CY_deposits_stmt_item_name,CY_htm_fair_value_stmt_item_name,CY_htm_unrealized_gain_stmt_item_name,CY_htm_unrealized_loss_stmt_item_name,CY_htm_historical_value_stmt_item_name,CY_notes_historical_value_stmt_item_name,CY_total_assets_stmt_item_name,CY_total_liabilities_stmt_item_name,CY_net_income_stmt_item_name,CY_oci_stmt_item_name,PY_afs_unrealized_loss_stmt_item_name,PY_afs_unrealized_gain_stmt_item_name,PY_afs_fair_value_stmt_item_name,PY_afs_historical_value_stmt_item_name,PY_deposits_stmt_item_name,PY_htm_fair_value_stmt_item_name,PY_htm_unrealized_gain_stmt_item_name,PY_htm_unrealized_loss_stmt_item_name,PY_htm_historical_value_stmt_item_name,PY_notes_historical_value_stmt_item_name,PY_total_assets_stmt_item_name,PY_total_liabilities_stmt_item_name,PY_net_income_stmt_item_name,PY_oci_stmt_item_name
0000034782,SRCE,1st Source Corporation,United States,USD,2022-12-31,2021-12-31,194694000,651000,1775128000,1969171000,6928265000,,,,0,5871894000,8339416000,7415650000,120532000,-17320000,22608000,9618000,1863041000,1876031000,6679065000,,,,0,5218722000,8096289000,7126825000,118557000,90302000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,ProfitLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,ProfitLoss,ComprehensiveIncomeNetOfTax
0000715579,ACNB,ACNB Corporation,United States,USD,2022-12-31,2021-12-31,64640000,553000,553554000,617641000,2198975000,58078000,0,6899000,64977000,1538610000,2525507000,2280465000,35752000,-12715000,7011000,2544000,437098000,441565000,2426389000,6652000,198000,0,6454000,1468427000,2786987000,2514873000,27834000,23927000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000903419,ALRS,Alerus Financial Corporation,United States,USD,2022-12-31,2021-12-31,132264000,21000,717324000,849567000,2915484000,270912000,,50990000,321902000,2443994000,3779637000,3422765000,40005000,-54381000,11971000,5362000,853649000,860258000,2920551000,349677000,1110000,3494000,352061000,1758020000,3392691000,3033288000,52681000,37788000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001823608,AMAL,Amalgamated Financial Corp.,United States,USD,2022-12-31,2021-12-31,131925000,58000,,,6595037000,1414871000,9000,126439000,,,7843124000,7334169000,81477000,,7393000,17754000,2113410000,2103049000,6356255000,849704000,8018000,1883000,843569000,3312224000,7077876000,6514001000,52937000,41170000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001734342,AMTB,Amerant Bancorp Inc.,United States,USD,2022-12-31,2021-12-31,112981000,1024000,,,7044199000,217609000,109000,24601000,,,9127804000,8422078000,63310000,-32542000,5737000,21512000,1175319000,1159544000,5630871000,119077000,1643000,741000,118175000,5409440000,7638399000,6806526000,112921000,96474000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000741516,AMNB,American National Bankshares Inc.,United States,USD,2022-12-31,2021-12-31,71066000,17000,608062000,679111000,2596328000,,,,0,,3065902000,2744728000,34428000,-15473000,7258000,5086000,692467000,694639000,2890353000,,,,0,1927902000,3334597000,2979805000,43526000,36014000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,HeldToMaturitySecurities,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000351569,ABCB,Ameris Bancorp,United States,USD,2022-12-31,2021-12-31,59134000,264000,,,19462738000,114538000,0,20326000,,,25053286000,21855886000,346540000,284443000,195000,19929000,592621000,572887000,19665553000,78206000,4000,1648000,,,23858321000,20891870000,376913000,358998000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001132651,ATLO,Ames National Corporation,United States,USD,2022-12-31,2021-12-31,83600000,42000,786438000,869996000,1897957000,,,,,1241320000,2134926000,1985828000,19293000,-46641000,6503000,10321000,831003000,827185000,1878019000,,,,,1160667000,2137041000,1929263000,23913000,10754000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000760498,BANF,BancFirst Corporation,United States,USD,2022-12-31,2021-12-31,93924000,254000,1538221000,1631891000,10974228000,2383000,,,2383000,18171000,12387863000,11137027000,193100000,119387000,1791000,4625000,531523000,528689000,8091914000,2978000,1000,,2977000,24857000,9405612000,8233878000,167630000,162350000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001746109,BFC,Bank First Corporation,United States,USD,2022-12-31,2021-12-31,21792000,469000,304637000,325960000,3060229000,43770000,115000,1442000,45097000,2894809000,3660432000,3207329000,12844000,26039000,696000,5638000,212689000,207747000,2528440000,5922000,,,5911000,7241000,2937552000,2614899000,11163000,43294000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
