ticker,cik,name,country
BCOW,0001847360,1895 Bancorp of Wisconsin Inc,United States
SRCE,0000034782,1st Source Corporation,United States
ACNB,0000715579,ACNB Corporation,United States
AFBI,0001823406,Affinity Bancshares Inc.,United States
ALRS,0000903419,Alerus Financial Corporation,United States
AMAL,0001823608,Amalgamated Financial Corp.,United States
AMTB,0001734342,Amerant Bancorp Inc.,United States
AMNB,0000741516,American National Bankshares Inc.,United States
ABCB,0000351569,Ameris Bancorp,United States
ASRV,0000707605,AmeriServ Financial Inc.,United States
ATLO,0001132651,Ames National Corporation,United States
AROW,0000717538,Arrow Financial Corporation,United States
AUBN,0000750574,Auburn National Bancorporation Inc.,United States
BANF,0000760498,BancFirst Corporation,United States
BFC,0001746109,Bank First Corporation,United States
BMRC,0001403475,Bank of Marin Bancorp,United States
BKSC,0001007273,Bank of South Carolina Corp.,United States
BOTJ,0001275101,Bank of the James Financial Group Inc.,United States
OZK,0001569650,Bank OZK,United States
BSVN,0001746129,Bank7 Corp.,United States
BFIN,0001303942,BankFinancial Corporation,United States
BWFG,0001505732,Bankwell Financial Group Inc.,United States
BANR,0000946673,Banner Corporation,United States
BCML,0001730984,BayCom Corp,United States
BLFY,0001846017,Blue Foundry Bancorp,United States
BOKF,0000875357,BOK Financial Corporation,United States
BWB,0001341317,Bridgewater Bancshares Inc.,United States
BFST,0001624322,Business First Bancshares Inc.,United States
CFFI,0000913341,C&F Financial Corporation,United States
CALB,0001752036,California BanCorp,United States
CATC,0000711772,Cambridge Bancorp,United States
CAC,0000750686,Camden National Corporation,United States
CBNK,0001419536,Capital Bancorp Inc.,United States
CCBG,0000726601,Capital City Bank Group,United States
CSTR,0001676479,CapStar Financial Holdings Inc.,United States
CARE,0001829576,Carter Bankshares Inc.,United States
CATY,0000861842,Cathay General Bancorp,United States
CBFV,0001605301,CB Financial Services Inc.,United States
CVCY,0001127371,Central Valley Community Bancorp,United States
CFSB,0001879103,CFSB Bancorp Inc.,United States
CHMG,0000763563,Chemung Financial Corp,United States
COFS,0000803164,ChoiceOne Financial Services Inc.,United States
CZNC,0000810958,Citizens & Northern Corp,United States
CZFS,0000739421,Citizens Financial Services Inc.,United States
CIZN,0001075706,Citizens Holding Company,United States
CHCO,0000726854,City Holding Company,United States
CIVB,0000944745,Civista Bancshares Inc.,United States
CCNE,0000736772,CNB Financial Corporation,United States
CCB,0001437958,Coastal Financial Corporation,United States
CBAN,0000711669,Colony Bankcorp Inc.,United States
COLB,0000887343,Columbia Banking System Inc.,United States
CLBK,0001723596,Columbia Financial Inc.,United States
CBSH,0000022356,Commerce Bancshares Inc.,United States
CTBI,0000350852,Community Trust Bancorp Inc.,United States
CWBC,0001051343,Community West Bancshares,United States
